COMUNIDAD,PROVINCIA,MUNICIPIO,INE
Pais Vasco,Álava,Agurain/Salvatierra,010513
Pais Vasco,Álava,Alegría-Dulantzi,010014
Pais Vasco,Álava,Amurrio,010029
Pais Vasco,Álava,Añana,010493
Pais Vasco,Álava,Aramaio,010035
Pais Vasco,Álava,Armiñón,010066
Pais Vasco,Álava,Arraia-Maeztu,010376
Pais Vasco,Álava,Arratzua-Ubarrundia,010088
Pais Vasco,Álava,Artziniega,010040
Pais Vasco,Álava,Asparrena,010091
Pais Vasco,Álava,Ayala/Aiara,010105
Pais Vasco,Álava,Baños de Ebro/Mañueta,010112
Pais Vasco,Álava,Barrundia,010133
Pais Vasco,Álava,Berantevilla,010148
Pais Vasco,Álava,Bernedo,010164
Pais Vasco,Álava,Campezo/Kanpezu,010170
Pais Vasco,Álava,Elburgo/Burgelu,010210
Pais Vasco,Álava,Elciego,010225
Pais Vasco,Álava,Elvillar/Bilar,010231
Pais Vasco,Álava,Erriberagoitia/Ribera Alta,010468
Pais Vasco,Álava,Harana/Valle de Arana,010565
Pais Vasco,Álava,Iruña Oka/Iruña de Oca,019015
Pais Vasco,Álava,Iruraiz-Gauna,010278
Pais Vasco,Álava,Kripan,010199
Pais Vasco,Álava,Kuartango,010203
Pais Vasco,Álava,Labastida/Bastida,010284
Pais Vasco,Álava,Lagrán,010301
Pais Vasco,Álava,Laguardia,010318
Pais Vasco,Álava,Lanciego/Lantziego,010323
Pais Vasco,Álava,Lantarón,019020
Pais Vasco,Álava,Lapuebla de Labarca,010339
Pais Vasco,Álava,Laudio/Llodio,010360
Pais Vasco,Álava,Legutio,010587
Pais Vasco,Álava,Leza,010344
Pais Vasco,Álava,Moreda de Álava/Moreda Araba,010395
Pais Vasco,Álava,Navaridas,010416
Pais Vasco,Álava,Okondo,010421
Pais Vasco,Álava,Oyón-Oion,010437
Pais Vasco,Álava,Peñacerrada-Urizaharra,010442
Pais Vasco,Álava,Ribera Baja/Erriberabeitia,010474
Pais Vasco,Álava,Samaniego,010528
Pais Vasco,Álava,San Millán/Donemiliaga,010534
Pais Vasco,Álava,Urkabustaiz,010549
Pais Vasco,Álava,Valdegovía/Gaubea,010552
Pais Vasco,Álava,Villabuena de Álava/Eskuernaga,010571
Pais Vasco,Álava,Vitoria-Gasteiz,010590
Pais Vasco,Álava,Yécora/Iekora,010604
Pais Vasco,Álava,Zalduondo,010611
Pais Vasco,Álava,Zambrana,010626
Pais Vasco,Álava,Zigoitia,010186
Pais Vasco,Álava,Zuia,010632
Castilla-La Mancha,Albacete,Abengibre,020019
Castilla-La Mancha,Albacete,Alatoz,020024
Castilla-La Mancha,Albacete,Albacete,020030
Castilla-La Mancha,Albacete,Albatana,020045
Castilla-La Mancha,Albacete,Alborea,020058
Castilla-La Mancha,Albacete,Alcadozo,020061
Castilla-La Mancha,Albacete,Alcalá del Júcar,020077
Castilla-La Mancha,Albacete,Alcaraz,020083
Castilla-La Mancha,Albacete,Almansa,020096
Castilla-La Mancha,Albacete,Alpera,020100
Castilla-La Mancha,Albacete,Ayna,020117
Castilla-La Mancha,Albacete,Balazote,020122
Castilla-La Mancha,Albacete,"Ballestero, El",020143
Castilla-La Mancha,Albacete,Balsa de Ves,020138
Castilla-La Mancha,Albacete,Barrax,020156
Castilla-La Mancha,Albacete,Bienservida,020169
Castilla-La Mancha,Albacete,Bogarra,020175
Castilla-La Mancha,Albacete,Bonete,020181
Castilla-La Mancha,Albacete,"Bonillo, El",020194
Castilla-La Mancha,Albacete,Carcelén,020208
Castilla-La Mancha,Albacete,Casas de Juan Núñez,020215
Castilla-La Mancha,Albacete,Casas de Lázaro,020220
Castilla-La Mancha,Albacete,Casas de Ves,020236
Castilla-La Mancha,Albacete,Casas-Ibáñez,020241
Castilla-La Mancha,Albacete,Caudete,020254
Castilla-La Mancha,Albacete,Cenizate,020267
Castilla-La Mancha,Albacete,Chinchilla de Monte-Aragón,020292
Castilla-La Mancha,Albacete,Corral-Rubio,020273
Castilla-La Mancha,Albacete,Cotillas,020289
Castilla-La Mancha,Albacete,Elche de la Sierra,020306
Castilla-La Mancha,Albacete,Férez,020313
Castilla-La Mancha,Albacete,Fuensanta,020328
Castilla-La Mancha,Albacete,Fuente-Álamo,020334
Castilla-La Mancha,Albacete,Fuentealbilla,020349
Castilla-La Mancha,Albacete,"Gineta, La",020352
Castilla-La Mancha,Albacete,Golosalvo,020365
Castilla-La Mancha,Albacete,Hellín,020371
Castilla-La Mancha,Albacete,"Herrera, La",020387
Castilla-La Mancha,Albacete,Higueruela,020390
Castilla-La Mancha,Albacete,Hoya-Gonzalo,020404
Castilla-La Mancha,Albacete,Jorquera,020411
Castilla-La Mancha,Albacete,Letur,020426
Castilla-La Mancha,Albacete,Lezuza,020432
Castilla-La Mancha,Albacete,Liétor,020447
Castilla-La Mancha,Albacete,Madrigueras,020450
Castilla-La Mancha,Albacete,Mahora,020463
Castilla-La Mancha,Albacete,Masegoso,020479
Castilla-La Mancha,Albacete,Minaya,020485
Castilla-La Mancha,Albacete,Molinicos,020498
Castilla-La Mancha,Albacete,Montalvos,020501
Castilla-La Mancha,Albacete,Montealegre del Castillo,020518
Castilla-La Mancha,Albacete,Motilleja,020523
Castilla-La Mancha,Albacete,Munera,020539
Castilla-La Mancha,Albacete,Navas de Jorquera,020544
Castilla-La Mancha,Albacete,Nerpio,020557
Castilla-La Mancha,Albacete,Ontur,020560
Castilla-La Mancha,Albacete,Ossa de Montiel,020576
Castilla-La Mancha,Albacete,Paterna del Madera,020582
Castilla-La Mancha,Albacete,Peñas de San Pedro,020609
Castilla-La Mancha,Albacete,Peñascosa,020595
Castilla-La Mancha,Albacete,Pétrola,020616
Castilla-La Mancha,Albacete,Povedilla,020621
Castilla-La Mancha,Albacete,Pozo Cañada,029010
Castilla-La Mancha,Albacete,Pozohondo,020637
Castilla-La Mancha,Albacete,Pozo-Lorente,020642
Castilla-La Mancha,Albacete,Pozuelo,020655
Castilla-La Mancha,Albacete,"Recueja, La",020668
Castilla-La Mancha,Albacete,Riópar,020674
Castilla-La Mancha,Albacete,Robledo,020680
Castilla-La Mancha,Albacete,"Roda, La",020693
Castilla-La Mancha,Albacete,Salobre,020707
Castilla-La Mancha,Albacete,San Pedro,020714
Castilla-La Mancha,Albacete,Socovos,020729
Castilla-La Mancha,Albacete,Tarazona de la Mancha,020735
Castilla-La Mancha,Albacete,Tobarra,020740
Castilla-La Mancha,Albacete,Valdeganga,020753
Castilla-La Mancha,Albacete,Vianos,020766
Castilla-La Mancha,Albacete,Villa de Ves,020772
Castilla-La Mancha,Albacete,Villalgordo del Júcar,020788
Castilla-La Mancha,Albacete,Villamalea,020791
Castilla-La Mancha,Albacete,Villapalacios,020805
Castilla-La Mancha,Albacete,Villarrobledo,020812
Castilla-La Mancha,Albacete,Villatoya,020827
Castilla-La Mancha,Albacete,Villavaliente,020833
Castilla-La Mancha,Albacete,Villaverde de Guadalimar,020848
Castilla-La Mancha,Albacete,Viveros,020851
Castilla-La Mancha,Albacete,Yeste,020864
Valencia,Alicante,Agost,030020
Valencia,Alicante,Agres,030036
Valencia,Alicante,Aigües,030041
Valencia,Alicante,Alacant/Alicante,030149
Valencia,Alicante,Albatera,030054
Valencia,Alicante,Alcalalí,030067
Valencia,Alicante,Alcoi/Alcoy,030092
Valencia,Alicante,Alcoleja,030089
Valencia,Alicante,Alcosser,030073
Valencia,Alicante,Alfafara,030106
Valencia,Alicante,"Alfàs del Pi, l'",030113
Valencia,Alicante,Algorfa,030128
Valencia,Alicante,Algueña,030134
Valencia,Alicante,Almoradí,030152
Valencia,Alicante,Almudaina,030165
Valencia,Alicante,"Alqueria d'Asnar, l'",030171
Valencia,Alicante,Altea,030187
Valencia,Alicante,Aspe,030190
Valencia,Alicante,"Atzúbia, l'",030015
Valencia,Alicante,Balones,030204
Valencia,Alicante,Banyeres de Mariola,030211
Valencia,Alicante,Benasau,030226
Valencia,Alicante,Beneixama,030232
Valencia,Alicante,Benejúzar,030247
Valencia,Alicante,Benferri,030250
Valencia,Alicante,Beniarbeig,030263
Valencia,Alicante,Beniardà,030279
Valencia,Alicante,Beniarrés,030285
Valencia,Alicante,Benidoleig,030302
Valencia,Alicante,Benidorm,030319
Valencia,Alicante,Benifallim,030324
Valencia,Alicante,Benifato,030330
Valencia,Alicante,Benigembla,030298
Valencia,Alicante,Benijófar,030345
Valencia,Alicante,Benilloba,030358
Valencia,Alicante,Benillup,030361
Valencia,Alicante,Benimantell,030377
Valencia,Alicante,Benimarfull,030383
Valencia,Alicante,Benimassot,030396
Valencia,Alicante,Benimeli,030400
Valencia,Alicante,Benissa,030417
Valencia,Alicante,Biar,030438
Valencia,Alicante,Bigastro,030443
Valencia,Alicante,Bolulla,030456
Valencia,Alicante,Busot,030469
Valencia,Alicante,Callosa de Segura,030494
Valencia,Alicante,Callosa d'en Sarrià,030481
Valencia,Alicante,Calp,030475
Valencia,Alicante,"Camp de Mirra, el/Campo de Mirra",030514
Valencia,Alicante,"Campello, el",030507
Valencia,Alicante,Cañada,030529
Valencia,Alicante,Castalla,030535
Valencia,Alicante,Castell de Castells,030540
Valencia,Alicante,"Castell de Guadalest, el",030759
Valencia,Alicante,Catral,030553
Valencia,Alicante,Cocentaina,030566
Valencia,Alicante,Confrides,030572
Valencia,Alicante,Cox,030588
Valencia,Alicante,Crevillent,030591
Valencia,Alicante,Daya Nueva,030612
Valencia,Alicante,Daya Vieja,030627
Valencia,Alicante,Dénia,030633
Valencia,Alicante,Dolores,030648
Valencia,Alicante,Elda,030664
Valencia,Alicante,Elx/Elche,030651
Valencia,Alicante,Fageca,030670
Valencia,Alicante,Famorca,030686
Valencia,Alicante,Finestrat,030699
Valencia,Alicante,"Fondó de les Neus, el/Hondón de las Nieves",030778
Valencia,Alicante,Formentera del Segura,030703
Valencia,Alicante,Gaianes,030725
Valencia,Alicante,Gata de Gorgos,030710
Valencia,Alicante,Gorga,030731
Valencia,Alicante,Granja de Rocamora,030746
Valencia,Alicante,Guardamar del Segura,030762
Valencia,Alicante,Hondón de los Frailes,030784
Valencia,Alicante,Ibi,030797
Valencia,Alicante,Jacarilla,030801
Valencia,Alicante,Llíber,030857
Valencia,Alicante,Millena,030860
Valencia,Alicante,Monforte del Cid,030882
Valencia,Alicante,Monòver/Monóvar,030895
Valencia,Alicante,"Montesinos, Los",039037
Valencia,Alicante,Murla,030916
Valencia,Alicante,Muro de Alcoy,030921
Valencia,Alicante,Mutxamel,030909
Valencia,Alicante,Novelda,030937
Valencia,Alicante,"Nucia, la",030942
Valencia,Alicante,Ondara,030955
Valencia,Alicante,Onil,030968
Valencia,Alicante,Orba,030974
Valencia,Alicante,Orihuela,030993
Valencia,Alicante,"Orxa, l'/Lorcha",030844
Valencia,Alicante,Orxeta,030980
Valencia,Alicante,Parcent,031007
Valencia,Alicante,Pedreguer,031014
Valencia,Alicante,Pego,031029
Valencia,Alicante,Penàguila,031035
Valencia,Alicante,Petrer,031040
Valencia,Alicante,Pilar de la Horadada,039021
Valencia,Alicante,"Pinós, el/Pinoso",031053
Valencia,Alicante,Planes,031066
Valencia,Alicante,"Poble Nou de Benitatxell, el/Benitachell",030422
Valencia,Alicante,"Poblets, els",039016
Valencia,Alicante,Polop,031072
Valencia,Alicante,Quatretondeta,030605
Valencia,Alicante,Rafal,031091
Valencia,Alicante,"Ràfol d'Almúnia, el",031105
Valencia,Alicante,Redován,031112
Valencia,Alicante,Relleu,031127
Valencia,Alicante,Rojales,031133
Valencia,Alicante,"Romana, la",031148
Valencia,Alicante,Sagra,031151
Valencia,Alicante,Salinas,031164
Valencia,Alicante,San Fulgencio,031186
Valencia,Alicante,San Isidro,039042
Valencia,Alicante,San Miguel de Salinas,031203
Valencia,Alicante,Sanet y Negrals,031170
Valencia,Alicante,Sant Joan d'Alacant,031199
Valencia,Alicante,Sant Vicent del Raspeig/San Vicente del Raspeig,031225
Valencia,Alicante,Santa Pola,031210
Valencia,Alicante,Sax,031231
Valencia,Alicante,Sella,031246
Valencia,Alicante,Senija,031259
Valencia,Alicante,Tàrbena,031278
Valencia,Alicante,Teulada,031284
Valencia,Alicante,Tibi,031297
Valencia,Alicante,Tollos,031301
Valencia,Alicante,Tormos,031318
Valencia,Alicante,"Torre de les Maçanes, la/Torremanzanas",031323
Valencia,Alicante,Torrevieja,031339
Valencia,Alicante,"Vall d'Alcalà, la",031344
Valencia,Alicante,"Vall de Gallinera, la",031360
Valencia,Alicante,"Vall de Laguar, la",031376
Valencia,Alicante,"Vall d'Ebo, la",031357
Valencia,Alicante,"Verger, el",031382
Valencia,Alicante,"Vila Joiosa, la/Villajoyosa",031395
Valencia,Alicante,Villena,031409
Valencia,Alicante,Xàbia/Jávea,030823
Valencia,Alicante,Xaló,030818
Valencia,Alicante,Xixona/Jijona,030839
Andalucía,Almería,Abla,040010
Andalucía,Almería,Abrucena,040025
Andalucía,Almería,Adra,040031
Andalucía,Almería,Albanchez,040046
Andalucía,Almería,Alboloduy,040059
Andalucía,Almería,Albox,040062
Andalucía,Almería,Alcolea,040078
Andalucía,Almería,Alcóntar,040084
Andalucía,Almería,Alcudia de Monteagud,040097
Andalucía,Almería,Alhabia,040101
Andalucía,Almería,Alhama de Almería,040118
Andalucía,Almería,Alicún,040123
Andalucía,Almería,Almería,040139
Andalucía,Almería,Almócita,040144
Andalucía,Almería,Alsodux,040157
Andalucía,Almería,Antas,040160
Andalucía,Almería,Arboleas,040176
Andalucía,Almería,Armuña de Almanzora,040182
Andalucía,Almería,Bacares,040195
Andalucía,Almería,Balanegra,049047
Andalucía,Almería,Bayárcal,040209
Andalucía,Almería,Bayarque,040216
Andalucía,Almería,Bédar,040221
Andalucía,Almería,Beires,040237
Andalucía,Almería,Benahadux,040242
Andalucía,Almería,Benitagla,040268
Andalucía,Almería,Benizalón,040274
Andalucía,Almería,Bentarique,040280
Andalucía,Almería,Berja,040293
Andalucía,Almería,Canjáyar,040307
Andalucía,Almería,Cantoria,040314
Andalucía,Almería,Carboneras,040329
Andalucía,Almería,Castro de Filabres,040335
Andalucía,Almería,Chercos,040366
Andalucía,Almería,Chirivel,040372
Andalucía,Almería,Cóbdar,040340
Andalucía,Almería,Cuevas del Almanzora,040353
Andalucía,Almería,Dalías,040388
Andalucía,Almería,"Ejido, El",049026
Andalucía,Almería,Enix,040412
Andalucía,Almería,Felix,040433
Andalucía,Almería,Fines,040448
Andalucía,Almería,Fiñana,040451
Andalucía,Almería,Fondón,040464
Andalucía,Almería,Gádor,040470
Andalucía,Almería,"Gallardos, Los",040486
Andalucía,Almería,Garrucha,040499
Andalucía,Almería,Gérgal,040502
Andalucía,Almería,Huécija,040519
Andalucía,Almería,Huércal de Almería,040524
Andalucía,Almería,Huércal-Overa,040530
Andalucía,Almería,Íllar,040545
Andalucía,Almería,Instinción,040558
Andalucía,Almería,Laroya,040561
Andalucía,Almería,Laujar de Andarax,040577
Andalucía,Almería,Líjar,040583
Andalucía,Almería,Lubrín,040596
Andalucía,Almería,Lucainena de las Torres,040600
Andalucía,Almería,Lúcar,040617
Andalucía,Almería,Macael,040622
Andalucía,Almería,María,040638
Andalucía,Almería,Mojácar,040643
Andalucía,Almería,"Mojonera, La",049032
Andalucía,Almería,Nacimiento,040656
Andalucía,Almería,Níjar,040669
Andalucía,Almería,Ohanes,040675
Andalucía,Almería,Olula de Castro,040681
Andalucía,Almería,Olula del Río,040694
Andalucía,Almería,Oria,040708
Andalucía,Almería,Padules,040715
Andalucía,Almería,Partaloa,040720
Andalucía,Almería,Paterna del Río,040736
Andalucía,Almería,Pechina,040741
Andalucía,Almería,Pulpí,040754
Andalucía,Almería,Purchena,040767
Andalucía,Almería,Rágol,040773
Andalucía,Almería,Rioja,040789
Andalucía,Almería,Roquetas de Mar,040792
Andalucía,Almería,Santa Cruz de Marchena,040806
Andalucía,Almería,Santa Fe de Mondújar,040813
Andalucía,Almería,Senés,040828
Andalucía,Almería,Serón,040834
Andalucía,Almería,Sierro,040849
Andalucía,Almería,Somontín,040852
Andalucía,Almería,Sorbas,040865
Andalucía,Almería,Suflí,040871
Andalucía,Almería,Tabernas,040887
Andalucía,Almería,Taberno,040890
Andalucía,Almería,Tahal,040904
Andalucía,Almería,Terque,040911
Andalucía,Almería,Tíjola,040926
Andalucía,Almería,"Tres Villas, Las",049011
Andalucía,Almería,Turre,040932
Andalucía,Almería,Turrillas,040947
Andalucía,Almería,Uleila del Campo,040950
Andalucía,Almería,Urrácal,040963
Andalucía,Almería,Velefique,040979
Andalucía,Almería,Vélez-Blanco,040985
Andalucía,Almería,Vélez-Rubio,040998
Andalucía,Almería,Vera,041002
Andalucía,Almería,Viator,041019
Andalucía,Almería,Vícar,041024
Andalucía,Almería,Zurgena,041030
Castilla y León,Ávila,Adanero,050013
Castilla y León,Ávila,"Adrada, La",050028
Castilla y León,Ávila,Albornos,050052
Castilla y León,Ávila,Aldeanueva de Santa Cruz,050071
Castilla y León,Ávila,Aldeaseca,050087
Castilla y León,Ávila,"Aldehuela, La",050104
Castilla y León,Ávila,Amavida,050126
Castilla y León,Ávila,"Arenal, El",050132
Castilla y León,Ávila,Arenas de San Pedro,050147
Castilla y León,Ávila,Arevalillo,050150
Castilla y León,Ávila,Arévalo,050163
Castilla y León,Ávila,Aveinte,050179
Castilla y León,Ávila,Avellaneda,050185
Castilla y León,Ávila,Ávila,050198
Castilla y León,Ávila,"Barco de Ávila, El",050219
Castilla y León,Ávila,"Barraco, El",050224
Castilla y León,Ávila,Barromán,050230
Castilla y León,Ávila,Becedas,050245
Castilla y León,Ávila,Becedillas,050258
Castilla y León,Ávila,Bercial de Zapardiel,050261
Castilla y León,Ávila,"Berlanas, Las",050277
Castilla y León,Ávila,Bernuy-Zapardiel,050296
Castilla y León,Ávila,Berrocalejo de Aragona,050300
Castilla y León,Ávila,Blascomillán,050338
Castilla y León,Ávila,Blasconuño de Matacabras,050343
Castilla y León,Ávila,Blascosancho,050356
Castilla y León,Ávila,"Bohodón, El",050369
Castilla y León,Ávila,Bohoyo,050375
Castilla y León,Ávila,Bonilla de la Sierra,050381
Castilla y León,Ávila,Brabos,050394
Castilla y León,Ávila,Bularros,050408
Castilla y León,Ávila,Burgohondo,050415
Castilla y León,Ávila,Cabezas de Alambre,050420
Castilla y León,Ávila,Cabezas del Pozo,050436
Castilla y León,Ávila,Cabezas del Villar,050441
Castilla y León,Ávila,Cabizuela,050454
Castilla y León,Ávila,Canales,050467
Castilla y León,Ávila,Candeleda,050473
Castilla y León,Ávila,Cantiveros,050489
Castilla y León,Ávila,Cardeñosa,050492
Castilla y León,Ávila,"Carrera, La",050512
Castilla y León,Ávila,Casas del Puerto,050527
Castilla y León,Ávila,Casasola,050533
Castilla y León,Ávila,Casavieja,050548
Castilla y León,Ávila,Casillas,050551
Castilla y León,Ávila,Castellanos de Zapardiel,050564
Castilla y León,Ávila,Cebreros,050570
Castilla y León,Ávila,Cepeda la Mora,050586
Castilla y León,Ávila,Chamartín,050678
Castilla y León,Ávila,Cillán,050599
Castilla y León,Ávila,Cisla,050603
Castilla y León,Ávila,"Colilla, La",050610
Castilla y León,Ávila,Collado de Contreras,050625
Castilla y León,Ávila,Collado del Mirón,050631
Castilla y León,Ávila,Constanzana,050646
Castilla y León,Ávila,Crespos,050659
Castilla y León,Ávila,Cuevas del Valle,050662
Castilla y León,Ávila,Diego del Carpio,059035
Castilla y León,Ávila,Donjimeno,050697
Castilla y León,Ávila,Donvidas,050701
Castilla y León,Ávila,Espinosa de los Caballeros,050723
Castilla y León,Ávila,Flores de Ávila,050739
Castilla y León,Ávila,Fontiveros,050744
Castilla y León,Ávila,Fresnedilla,050757
Castilla y León,Ávila,"Fresno, El",050760
Castilla y León,Ávila,Fuente el Saúz,050776
Castilla y León,Ávila,Fuentes de Año,050782
Castilla y León,Ávila,Gallegos de Altamiros,050795
Castilla y León,Ávila,Gallegos de Sobrinos,050809
Castilla y León,Ávila,Garganta del Villar,050816
Castilla y León,Ávila,Gavilanes,050821
Castilla y León,Ávila,Gemuño,050837
Castilla y León,Ávila,Gil García,050855
Castilla y León,Ávila,Gilbuena,050842
Castilla y León,Ávila,Gimialcón,050868
Castilla y León,Ávila,Gotarrendura,050874
Castilla y León,Ávila,Grandes y San Martín,050880
Castilla y León,Ávila,Guisando,050893
Castilla y León,Ávila,Gutierre-Muñoz,050907
Castilla y León,Ávila,Hernansancho,050929
Castilla y León,Ávila,Herradón de Pinares,050935
Castilla y León,Ávila,Herreros de Suso,050940
Castilla y León,Ávila,Higuera de las Dueñas,050953
Castilla y León,Ávila,"Hija de Dios, La",050966
Castilla y León,Ávila,"Horcajada, La",050972
Castilla y León,Ávila,Horcajo de las Torres,050991
Castilla y León,Ávila,"Hornillo, El",051005
Castilla y León,Ávila,"Hoyo de Pinares, El",051027
Castilla y León,Ávila,Hoyocasero,051012
Castilla y León,Ávila,Hoyorredondo,051033
Castilla y León,Ávila,Hoyos de Miguel Muñoz,051064
Castilla y León,Ávila,Hoyos del Collado,051048
Castilla y León,Ávila,Hoyos del Espino,051051
Castilla y León,Ávila,Hurtumpascual,051070
Castilla y León,Ávila,Junciana,051086
Castilla y León,Ávila,Langa,051099
Castilla y León,Ávila,Lanzahíta,051103
Castilla y León,Ávila,"Llanos de Tormes, Los",051131
Castilla y León,Ávila,"Losar del Barco, El",051125
Castilla y León,Ávila,Madrigal de las Altas Torres,051146
Castilla y León,Ávila,Maello,051159
Castilla y León,Ávila,Malpartida de Corneja,051162
Castilla y León,Ávila,Mamblas,051178
Castilla y León,Ávila,Mancera de Arriba,051184
Castilla y León,Ávila,Manjabálago y Ortigosa de Rioalmar,051197
Castilla y León,Ávila,Marlín,051201
Castilla y León,Ávila,Martiherrero,051218
Castilla y León,Ávila,Martínez,051223
Castilla y León,Ávila,Mediana de Voltoya,051239
Castilla y León,Ávila,Medinilla,051244
Castilla y León,Ávila,Mengamuñoz,051257
Castilla y León,Ávila,Mesegar de Corneja,051260
Castilla y León,Ávila,Mijares,051276
Castilla y León,Ávila,Mingorría,051282
Castilla y León,Ávila,"Mirón, El",051295
Castilla y León,Ávila,Mironcillo,051309
Castilla y León,Ávila,Mirueña de los Infanzones,051316
Castilla y León,Ávila,Mombeltrán,051321
Castilla y León,Ávila,Monsalupe,051337
Castilla y León,Ávila,Moraleja de Matacabras,051342
Castilla y León,Ávila,Muñana,051355
Castilla y León,Ávila,Muñico,051368
Castilla y León,Ávila,Muñogalindo,051380
Castilla y León,Ávila,Muñogrande,051393
Castilla y León,Ávila,Muñomer del Peco,051407
Castilla y León,Ávila,Muñopepe,051414
Castilla y León,Ávila,Muñosancho,051429
Castilla y León,Ávila,Muñotello,051435
Castilla y León,Ávila,Narrillos del Álamo,051440
Castilla y León,Ávila,Narrillos del Rebollar,051453
Castilla y León,Ávila,Narros de Saldueña,051491
Castilla y León,Ávila,Narros del Castillo,051472
Castilla y León,Ávila,Narros del Puerto,051488
Castilla y León,Ávila,Nava de Arévalo,051526
Castilla y León,Ávila,Nava del Barco,051532
Castilla y León,Ávila,Navacepedilla de Corneja,051511
Castilla y León,Ávila,Navadijos,051547
Castilla y León,Ávila,Navaescurial,051550
Castilla y León,Ávila,Navahondilla,051563
Castilla y León,Ávila,Navalacruz,051579
Castilla y León,Ávila,Navalmoral,051585
Castilla y León,Ávila,Navalonguilla,051598
Castilla y León,Ávila,Navalosa,051602
Castilla y León,Ávila,Navalperal de Pinares,051619
Castilla y León,Ávila,Navalperal de Tormes,051624
Castilla y León,Ávila,Navaluenga,051630
Castilla y León,Ávila,Navaquesera,051645
Castilla y León,Ávila,Navarredonda de Gredos,051658
Castilla y León,Ávila,Navarredondilla,051661
Castilla y León,Ávila,Navarrevisca,051677
Castilla y León,Ávila,"Navas del Marqués, Las",051683
Castilla y León,Ávila,Navatalgordo,051696
Castilla y León,Ávila,Navatejares,051700
Castilla y León,Ávila,Neila de San Miguel,051717
Castilla y León,Ávila,Niharra,051722
Castilla y León,Ávila,Ojos-Albos,051738
Castilla y León,Ávila,Orbita,051743
Castilla y León,Ávila,"Oso, El",051756
Castilla y León,Ávila,Padiernos,051769
Castilla y León,Ávila,Pajares de Adaja,051775
Castilla y León,Ávila,Palacios de Goda,051781
Castilla y León,Ávila,Papatrigo,051794
Castilla y León,Ávila,"Parral, El",051808
Castilla y León,Ávila,Pascualcobo,051815
Castilla y León,Ávila,Pedro Bernardo,051820
Castilla y León,Ávila,Pedro-Rodríguez,051836
Castilla y León,Ávila,Peguerinos,051841
Castilla y León,Ávila,Peñalba de Ávila,051854
Castilla y León,Ávila,Piedrahíta,051867
Castilla y León,Ávila,Piedralaves,051873
Castilla y León,Ávila,Poveda,051889
Castilla y León,Ávila,Poyales del Hoyo,051892
Castilla y León,Ávila,Pozanco,051906
Castilla y León,Ávila,Pradosegar,051913
Castilla y León,Ávila,Puerto Castilla,051928
Castilla y León,Ávila,Rasueros,051934
Castilla y León,Ávila,Riocabado,051949
Castilla y León,Ávila,Riofrío,051952
Castilla y León,Ávila,Rivilla de Barajas,051965
Castilla y León,Ávila,Salobral,051971
Castilla y León,Ávila,Salvadiós,051987
Castilla y León,Ávila,San Bartolomé de Béjar,051990
Castilla y León,Ávila,San Bartolomé de Corneja,052004
Castilla y León,Ávila,San Bartolomé de Pinares,052011
Castilla y León,Ávila,San Esteban de los Patos,052063
Castilla y León,Ávila,San Esteban de Zapardiel,052085
Castilla y León,Ávila,San Esteban del Valle,052079
Castilla y León,Ávila,San García de Ingelmos,052098
Castilla y León,Ávila,San Juan de Gredos,059014
Castilla y León,Ávila,San Juan de la Encinilla,052102
Castilla y León,Ávila,San Juan de la Nava,052119
Castilla y León,Ávila,San Juan del Molinillo,052124
Castilla y León,Ávila,San Juan del Olmo,052130
Castilla y León,Ávila,San Lorenzo de Tormes,052145
Castilla y León,Ávila,San Martín de la Vega del Alberche,052158
Castilla y León,Ávila,San Martín del Pimpollar,052161
Castilla y León,Ávila,San Miguel de Corneja,052177
Castilla y León,Ávila,San Miguel de Serrezuela,052183
Castilla y León,Ávila,San Pascual,052196
Castilla y León,Ávila,San Pedro del Arroyo,052200
Castilla y León,Ávila,San Vicente de Arévalo,052315
Castilla y León,Ávila,Sanchidrián,052047
Castilla y León,Ávila,Sanchorreja,052050
Castilla y León,Ávila,Santa Cruz de Pinares,052222
Castilla y León,Ávila,Santa Cruz del Valle,052217
Castilla y León,Ávila,Santa María de los Caballeros,052269
Castilla y León,Ávila,Santa María del Arroyo,052243
Castilla y León,Ávila,Santa María del Berrocal,052256
Castilla y León,Ávila,Santa María del Cubillo,059029
Castilla y León,Ávila,Santa María del Tiétar,052275
Castilla y León,Ávila,Santiago del Collado,052281
Castilla y León,Ávila,Santiago del Tormes,059040
Castilla y León,Ávila,Santo Domingo de las Posadas,052294
Castilla y León,Ávila,Santo Tomé de Zabarcos,052308
Castilla y León,Ávila,"Serrada, La",052320
Castilla y León,Ávila,Serranillos,052336
Castilla y León,Ávila,Sigeres,052341
Castilla y León,Ávila,Sinlabajos,052354
Castilla y León,Ávila,Solana de Ávila,052367
Castilla y León,Ávila,Solana de Rioalmar,052373
Castilla y León,Ávila,Solosancho,052389
Castilla y León,Ávila,Sotalbo,052392
Castilla y León,Ávila,Sotillo de la Adrada,052406
Castilla y León,Ávila,"Tiemblo, El",052413
Castilla y León,Ávila,Tiñosillos,052428
Castilla y León,Ávila,Tolbaños,052434
Castilla y León,Ávila,Tormellas,052449
Castilla y León,Ávila,Tornadizos de Ávila,052452
Castilla y León,Ávila,"Torre, La",052471
Castilla y León,Ávila,Tórtoles,052465
Castilla y León,Ávila,Umbrías,052490
Castilla y León,Ávila,Vadillo de la Sierra,052510
Castilla y León,Ávila,Valdecasa,052525
