""
"Fecha: 20160411190346, Artículo: https://web.archive.org/web/20160411190346/https://www.elmundo.es/pais-vasco/2016/03/11/56e2d5ef46163f1f208b4588.html"
"Fecha: 20160411190346, Artículo: https://web.archive.org/web/20160411190346/https://www.elmundo.es/espana/2016/03/08/56ddffdfca474110128b4574.html"
"Fecha: 20160411190346, Artículo: https://web.archive.org/web/20160411190346/https://www.elmundo.es/cataluna/2016/03/04/56d960eb46163f924f8b4613.html"
"Fecha: 20160411190346, Artículo: https://web.archive.org/web/20160411190346/https://www.elmundo.es/cataluna/2016/03/03/56d8655de2704ec71e8b4690.html"
"Fecha: 20160415125141, Artículo: https://web.archive.org/web/20160415125141/https://www.elmundo.es/pais-vasco/2016/04/05/5703b310ca474123558b4661.html"
"Fecha: 20160415125141, Artículo: https://web.archive.org/web/20160415125141/https://www.elmundo.es/grafico/espana/2016/02/05/56b4ce8aca4741f9038b463f.html"
"Fecha: 20160415125141, Artículo: https://web.archive.org/web/20160415125141/https://www.elmundo.es/cataluna/2016/03/29/56fa5ffee2704e51218b45ac.html"
"Fecha: 20160415125141, Artículo: https://web.archive.org/web/20160415125141/https://www.elmundo.es/madrid/2016/03/11/56e2f56046163fd3228b45b1.html"
"Fecha: 20160415125141, Artículo: https://web.archive.org/web/20160415125141/https://www.elmundo.es/pais-vasco/2016/03/11/56e2d5ef46163f1f208b4588.html"
"Fecha: 20160415125141, Artículo: https://web.archive.org/web/20160415125141/https://www.elmundo.es/espana/2016/03/08/56ddffdfca474110128b4574.html"
"Fecha: 20160415125141, Artículo: https://web.archive.org/web/20160415125141/https://www.elmundo.es/cataluna/2016/03/04/56d960eb46163f924f8b4613.html"
"Fecha: 20160415125141, Artículo: https://web.archive.org/web/20160415125141/https://www.elmundo.es/cataluna/2016/03/03/56d8655de2704ec71e8b4690.html"
"Fecha: 20160816021518, Artículo: https://web.archive.org/web/20160816021518/https://www.elmundo.es/baleares/2016/05/16/5739c15c268e3e19658b4606.html"
"Fecha: 20160817062905, Artículo: https://web.archive.org/web/20160817062905/https://www.elmundo.es/baleares/2016/05/16/5739c15c268e3e19658b4606.html"
"Fecha: 20160818125452, Artículo: https://web.archive.org/web/20160818125452/https://www.elmundo.es/baleares/2016/05/16/5739c15c268e3e19658b4606.html"
"Fecha: 20160819174830, Artículo: https://web.archive.org/web/20160819174830/https://www.elmundo.es/baleares/2016/05/16/5739c15c268e3e19658b4606.html"
"Fecha: 20160830182016, Artículo: https://web.archive.org/web/20160830182016/https://www.elmundo.es/baleares/2016/05/16/5739c15c268e3e19658b4606.html"
"Fecha: 20160901111724, Artículo: https://web.archive.org/web/20160901111724/https://www.elmundo.es/baleares/2016/05/16/5739c15c268e3e19658b4606.html"
"Fecha: 20160902163548, Artículo: https://web.archive.org/web/20160902163548/https://www.elmundo.es/baleares/2016/05/16/5739c15c268e3e19658b4606.html"
"Fecha: 20160904142300, Artículo: https://web.archive.org/web/20160904142300/https://www.elmundo.es/baleares/2016/05/16/5739c15c268e3e19658b4606.html"
"Fecha: 20160911230940, Artículo: https://web.archive.org/web/20160911230940/https://www.elmundo.es/baleares/2016/05/16/5739c15c268e3e19658b4606.html"
"Fecha: 20160916054858, Artículo: https://web.archive.org/web/20160916054858/https://www.elmundo.es/baleares/2016/05/16/5739c15c268e3e19658b4606.html"
"Fecha: 20160923050615, Artículo: https://web.archive.org/web/20160923050615/https://www.elmundo.es/baleares/2016/05/16/5739c15c268e3e19658b4606.html"
"Fecha: 20160924055823, Artículo: https://web.archive.org/web/20160924055823/https://www.elmundo.es/baleares/2016/05/16/5739c15c268e3e19658b4606.html"
"Fecha: 20160925070536, Artículo: https://web.archive.org/web/20160925070536/https://www.elmundo.es/baleares/2016/05/16/5739c15c268e3e19658b4606.html"
"Fecha: 20160927044701, Artículo: https://web.archive.org/web/20160927044701/https://www.elmundo.es/baleares/2016/05/16/5739c15c268e3e19658b4606.html"
"Fecha: 20161104153854, Artículo: https://web.archive.org/web/20161104153854/https://www.elmundo.es/sociedad/2016/10/23/580c9ba0e5fdea133f8b4574.html"
"Fecha: 20161112032534, Artículo: https://web.archive.org/web/20161112032534/https://www.elmundo.es/sociedad/2016/10/23/580c9ba0e5fdea133f8b4574.html"
"Fecha: 20161120062103, Artículo: https://web.archive.org/web/20161120062103/https://www.elmundo.es/baleares/2016/11/18/582ec49be5fdea97278b45e2.html"
"Fecha: 20161120062103, Artículo: https://web.archive.org/web/20161120062103/https://www.elmundo.es/sociedad/2016/10/23/580c9ba0e5fdea133f8b4574.html"
"Fecha: 20161121073004, Artículo: https://web.archive.org/web/20161121073004/https://www.elmundo.es/baleares/2016/11/18/582ec49be5fdea97278b45e2.html"
"Fecha: 20161121073004, Artículo: https://web.archive.org/web/20161121073004/https://www.elmundo.es/sociedad/2016/10/23/580c9ba0e5fdea133f8b4574.html"
"Fecha: 20161122075455, Artículo: https://web.archive.org/web/20161122075455/https://www.elmundo.es/baleares/2016/11/18/582ec49be5fdea97278b45e2.html"
"Fecha: 20161122075455, Artículo: https://web.archive.org/web/20161122075455/https://www.elmundo.es/sociedad/2016/10/23/580c9ba0e5fdea133f8b4574.html"
"Fecha: 20161207155115, Artículo: https://web.archive.org/web/20161207155115/https://www.elmundo.es/baleares/2016/11/18/582ec49be5fdea97278b45e2.html"
"Fecha: 20161207155115, Artículo: https://web.archive.org/web/20161207155115/https://www.elmundo.es/sociedad/2016/10/23/580c9ba0e5fdea133f8b4574.html"
"Fecha: 20161208161647, Artículo: https://web.archive.org/web/20161208161647/https://www.elmundo.es/baleares/2016/11/18/582ec49be5fdea97278b45e2.html"
"Fecha: 20161208161647, Artículo: https://web.archive.org/web/20161208161647/https://www.elmundo.es/sociedad/2016/10/23/580c9ba0e5fdea133f8b4574.html"
"Fecha: 20161209171056, Artículo: https://web.archive.org/web/20161209171056/https://www.elmundo.es/baleares/2016/11/18/582ec49be5fdea97278b45e2.html"
"Fecha: 20161209171056, Artículo: https://web.archive.org/web/20161209171056/https://www.elmundo.es/sociedad/2016/10/23/580c9ba0e5fdea133f8b4574.html"
"Fecha: 20161210175311, Artículo: https://web.archive.org/web/20161210175311/https://www.elmundo.es/baleares/2016/11/18/582ec49be5fdea97278b45e2.html"
"Fecha: 20161210175311, Artículo: https://web.archive.org/web/20161210175311/https://www.elmundo.es/sociedad/2016/10/23/580c9ba0e5fdea133f8b4574.html"
"Fecha: 20161211175739, Artículo: https://web.archive.org/web/20161211175739/https://www.elmundo.es/baleares/2016/11/18/582ec49be5fdea97278b45e2.html"
"Fecha: 20161211175739, Artículo: https://web.archive.org/web/20161211175739/https://www.elmundo.es/sociedad/2016/10/23/580c9ba0e5fdea133f8b4574.html"
"Fecha: 20161212182816, Artículo: https://web.archive.org/web/20161212182816/https://www.elmundo.es/baleares/2016/11/18/582ec49be5fdea97278b45e2.html"
"Fecha: 20161212182816, Artículo: https://web.archive.org/web/20161212182816/https://www.elmundo.es/sociedad/2016/10/23/580c9ba0e5fdea133f8b4574.html"
"Fecha: 20161213185850, Artículo: https://web.archive.org/web/20161213185850/https://www.elmundo.es/baleares/2016/11/18/582ec49be5fdea97278b45e2.html"
"Fecha: 20161213185850, Artículo: https://web.archive.org/web/20161213185850/https://www.elmundo.es/sociedad/2016/10/23/580c9ba0e5fdea133f8b4574.html"
"Fecha: 20161215200346, Artículo: https://web.archive.org/web/20161215200346/https://www.elmundo.es/baleares/2016/11/18/582ec49be5fdea97278b45e2.html"
"Fecha: 20161215200346, Artículo: https://web.archive.org/web/20161215200346/https://www.elmundo.es/sociedad/2016/10/23/580c9ba0e5fdea133f8b4574.html"
"Fecha: 20161215200346, Artículo: https://web.archive.org/web/20161215200346/https://www.elmundo.es/sociedad/2016/12/15/5851947446163fbb348b46d1.html"
"Fecha: 20161216204022, Artículo: https://web.archive.org/web/20161216204022/https://www.elmundo.es/baleares/2016/11/18/582ec49be5fdea97278b45e2.html"
"Fecha: 20161216204022, Artículo: https://web.archive.org/web/20161216204022/https://www.elmundo.es/sociedad/2016/10/23/580c9ba0e5fdea133f8b4574.html"
"Fecha: 20161218082412, Artículo: https://web.archive.org/web/20161218082412/https://www.elmundo.es/baleares/2016/11/18/582ec49be5fdea97278b45e2.html"
"Fecha: 20161218082412, Artículo: https://web.archive.org/web/20161218082412/https://www.elmundo.es/sociedad/2016/10/23/580c9ba0e5fdea133f8b4574.html"
"Fecha: 20161222071243, Artículo: https://web.archive.org/web/20161222071243/https://www.elmundo.es/sociedad/2016/12/18/5856a4e346163f020a8b4665.html"
